Accession ID,PMID,curated,uncurated 1,uncurated 2,r code,has early stage?,has refractory?,who checked?,comments,Levi comments,Ben's comments - ready to use?,platform_title,citation,Accession ID,download RAW,download PROCESSED,(f)RMA,default eset,sample_history,sample_handling,sample_type,sample_preservation,platform_manufacturer,platform_distribution,platform_accession,technology_type,geneSigDB_signatures,PubDate.Year,Title
GSE12418,16996261,curated,uncurated,x,src,no,"don't think so, but maybe?",,,,yes,SWEGENE H_v2.1.1_27k,"Partheen K, Levan K, Osterberg L, Horvath G.Expression analysis of stage III serous ovarian adenocarcinoma distinguishes a sub-group of survivors. Eur J Cancer. 2006 Nov; 42(16):2846-54. ",GSE12418,ok,ok,NA,ok,NA,NA,primary_tissues,FF,other,non-commercial,GPL5886,spotted oligonucleotide,,2006,Expression analysis of stage III serous ovarian adenocarcinoma distinguishes a sub-group of survivors.
GSE12470,19486012,curated,uncurated,x,src,yes,no,,,,yes,Agilent-012097 Human 1A Microarray (V2) G4110B (Feature Number version),"Yoshihara K, Tajima A, Komata D, Yamamoto T, Kodama S, Fujiwara H, Suzuki M, Onishi Y, Hatae M, Sueyoshi K, Fujiwara H, Kudo Y, Inoue I, Tanaka K.Gene expression profiling of advanced-stage serous ovarian cancers distinguishes novel subclasses and implicates ZEB2 in tumor progression and prognosis. Cancer Sci. 2009 Aug; 100(8):1421-8. ",GSE12470,ok,ok,NA,ok,NA,NA,primary_tissues,FF,Agilent,commercial,GPL887,in situ oligonucleotide,,2009,Gene expression profiling of advanced-stage serous ovarian cancers distinguishes novel subclasses and implicates ZEB2 in tumor progression and prognosis.
GSE13876,19192944,curated,uncurated,x,src,no,probably,,,,yes,Operon human v3 ~35K 70-mer two-color oligonucleotide microarrays,"Crijns AP, Fehrmann RS, de Jong S, Gerbens F, Meersma GJ, Klip HG, Hollema H, Hofstra RM, te Meerman GJ, de Vries EG, van der Zee AG.Survival-related profile, pathways, and transcription factors in ovarian cancer. PLoS Med. 2009 Feb 3; 6(2):e24. ",GSE13876,ok,ok,NA,ok,NA,NA,primary_tissues,FF,other,non-commercial,GPL7759,spotted oligonucleotide,1,2009,"Survival-related profile, pathways, and transcription factors in ovarian cancer."
GSE14764,19294737,curated,uncurated,x,src,yes,no,,,,yes - not on Gayatry's list though,HG-U133A,"Denkert C, Budczies J, Darb-Esfahani S, Györffy B et al",GSE14764,ok,ok,ok,ok,NA,NA,primary_tissues,FF,Affymetrix,commercial,GPL96,in situ oligonucleotide,,2009,A prognostic gene expression index in ovarian cancer--validation across different independent data sets
GSE17260,20300634,curated,uncurated,x,src,no,probably,,,,yes,Agilent-012391 Whole Human Genome Oligo Microarray G4112A,"Yoshihara K, Tajima A, Yahata T, Kodama S, Fujiwara H, Suzuki M, Onishi Y, Hatae M, Sueyoshi K, Fujiwara H, Kudo Y, Kotera K, Masuzaki H, Tashiro H, Katabuchi H, Inoue I, Tanaka K.Gene expression profile for predicting survival in advanced-stage serous ovarian cancer across two independent datasets. PLoS One. 2010 Mar 12; 5(3):e9615. ",GSE17260,ok,ok,NA,ok,NA,NA,primary_tissues,FF,Agilent,commercial,GPL6848,in situ oligonucleotide,,2010,Gene expression profile for predicting survival in advanced-stage serous ovarian cancer across two independent datasets.
GSE18520,19962670,curated,uncurated,x,src,no,no,,"Curated-data contains refractory - Normal tissues noted as deceased",,yes,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,"Mok SC, Bonome T, Vathipadiekal V, Bell A, Johnson ME, Wong KK, Park DC, Hao K, Yip DK, Donninger H, Ozbun L, Samimi G, Brady J, Randonovich M, Pise-Masison CA, Barrett JC, Wong WH, Welch WR, Berkowitz RS, Birrer MJ.A gene signature predictive for outcome in advanced ovarian cancer identifies a survival factor: microfibril-associated glycoprotein 2. Cancer Cell. 2009 Dec 8; 16(6):521-32. ",GSE18520,ok,ok,ok,ok,NA,NA,primary_tissues,FF,Affymetrix|Operon,commercial|non-commercial,GPL570|GPL9216,in situ oligonucleotide,,2009,A gene signature predictive for outcome in advanced ovarian cancer identifies a survival factor: microfibril-associated glycoprotein 2.
GSE19829-GPL570,20547991,curated,uncurated,x,src,no,no,,,,yes,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,"Konstantinopoulos PA, Spentzos D, Karlan BY, Taniguchi T et al. Gene expression profile of BRCAness that correlates with responsiveness to chemotherapy and with outcome in patients with epithelial ovarian cancer. J Clin Oncol 2010 Aug 1;28(22):3555-61. ",GSE19829-GPL570,ok,ok,ok,ok,NA,NA,primary_tissues,FF,Affymetrix,commercial,GPL570|GPL8300,in situ oligonucleotide,,2010,Gene expression profile of BRCAness that correlates with responsiveness to chemotherapy and with outcome in patients with epithelial ovarian cancer
GSE19829-GPL8300,20547991,curated,uncurated,x,src,no,no,,,,yes,[HG_U95Av2] Affymetrix Human Genome U95 Version 2 Array,"Konstantinopoulos PA, Spentzos D, Karlan BY, Taniguchi T et al. Gene expression profile of BRCAness that correlates with responsiveness to chemotherapy and with outcome in patients with epithelial ovarian cancer. J Clin Oncol 2010 Aug 1;28(22):3555-61. ",GSE19829-GPL8300,ok,ok,ok,ok,NA,NA,primary_tissues,FF,Affymetrix,commercial,GPL570|GPL8300,in situ oligonucleotide,,2010,Gene expression profile of BRCAness that correlates with responsiveness to chemotherapy and with outcome in patients with epithelial ovarian cancer
GSE20565-GPL570,20492709,curated,uncurated,x,src,yes,no,svitlana,"contains some breast cancer metastasis - not resolved, beware.  New survival data received from authors on June 30 2011, should be added to curated metadata.",,yes - not on Gayatry's list though,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array|[Mapping50K_Xba240] Affymetrix Human Mapping 50K Xba240 SNP Array|[GenomeWideSNP_6] Affymetrix Genome-Wide Human SNP 6.0 Array,"Meyniel JP, Cottu PH, Decraene C, Stern MH, Couturier J, Lebigot I, Nicolas A, Weber N, Fourchotte V, Alran S, Rapinat A, Gentien D, Roman-Roman S, Mignot L, Sastre-Garau X.A genomic and transcriptomic approach for a differential diagnosis between primary and secondary ovarian carcinomas in patients with a previous history of breast cancer. BMC Cancer. 2010 May 21; 10:222. ",GSE20565,ok,ok,ok,ok,NA,NA,primary_tissues,FF,Affymetrix,commercial,GPL570|GPL2005|GPL6801,in situ oligonucleotide|in situ oligonucleotide|in situ oligonucleotide,,2010,A genomic and transcriptomic approach for a differential diagnosis between primary and secondary ovarian carcinomas in patients with a previous history of breast cancer.
GSE2109,EXPO project,curated,uncurated,x,src,yes,no,,,,yes - not on Gayatry's list though,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,"EXPO project, many cancers",GSE2109,ok,ok,ok,NA,NA,NA,primary_tissues,FF,Affymetrix,commercial,GPL570,in situ oligonucleotide
GSE26712,18593951,curated,uncurated,x,src,no,no,,"normals annotated as ""ser"", should fix (victoria)",.CEL filenames problem,yes,[HG-U133A] Affymetrix Human Genome U133A Array,"Birrer,         A Gene Signature Predicting for Survival in Suboptimally Debulked Patients with Ovarian Cancer ",GSE26712,ok,ok,FIXME,ok,NA,NA,primary_tissues,FF,Affymetrix,commercial,GPL96,in situ oligonucleotide,,2011,A Gene Signature Predicting for Survival in Suboptimally Debulked Patients with Ovarian Cancer
GSE6008,19440550,curated,uncurated,x,src,yes,no,,"ctnnb1 mutation, apc mutation, pten mutation, pten immunohistochemistry data is available for this study in the uncurated.",,yes,[HG-U133A] Affymetrix Human Genome U133A Array,"Murph MM, Liu W, Yu S, Lu Y, Hall H, Hennessy BT, Lahad J, Schaner M, Helland A, Kristensen G, BÃƒÂ¸rresen-Dale AL, Mills GB.Lysophosphatidic acid-induced transcriptional profile represents serous epithelial ovarian carcinoma and worsened prognosis. PLoS One. 2009; 4(5):e5583.",GSE6008,ok,ok,ok,ok,NA,NA,primary_tissues,FF,Affymetrix,commercial,GPL96,in situ oligonucleotide,1,2009,Lysophosphatidic acid-induced transcriptional profile represents serous epithelial ovarian carcinoma and worsened prognosis.
GSE6822,,curated,uncurated,uncurated supp,src,no,no,,,,yes - not on Gayatry's list though,[Hu6800] Affymetrix Human Full Length HuGeneFL Array,"Novak JP, Ouellet V, Le Page C, Martinu K, Ponton A, Bachvarow DD, Filali-Mouhim A, Provencher DM, Tonin PN, Hudson TJ, Mes-Masson A",GSE6822,ok,ok,ok,ok,NA,NA,primary_tissues,FF,Affymetrix,commercial,GPL80,in situ oligonucleotide,,2007,Classification of ovarian tumor samples
GSE8842,19047114,curated,uncurated,x,src,yes,no,,,,yes,Agilent Human 1 cDNA Microarray (G4100A),"Marchini S, Mariani P, Chiorino G, Marrazzo E, Bonomi R, Fruscio R, Clivio L, Garbi A, Torri V, Cinquini M, Dell'Anna T, Apolone G, Broggini M, D'Incalci M.Analysis of gene expression in early-stage ovarian cancer. Clin Cancer Res. 2008 Dec 1; 14(23):7850-60. ",GSE8842,ok,ok,NA,ok,NA,NA,primary_tissues,FF,Agilent,custom-commerical,GPL5689,spotted DNA/cDNA,,2008,Analysis of gene expression in early-stage ovarian cancer.
GSE9891,18698038,curated,uncurated,uncurated supp,src,yes,probably,,,,yes,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,"Tothill RW, Tinker AV, George J, Brown R, Fox SB, Lade S, Johnson DS, Trivett MK, Etemadmoghadam D, Locandro B, Traficante N, Fereday S, Hung JA, Chiew YE, Haviv I, Gertig D, DeFazio A, Bowtell DD.Novel molecular subtypes of serous and endometrioid ovarian cancer linked to clinical outcome. Clin Cancer Res. 2008 Aug 15; 14(16):5198-208. ",GSE9891,ok,ok,ok,ok,NA,NA,primary_tissues,FF,Affymetrix,commercial,GPL570,in situ oligonucleotide,,2008,Novel molecular subtypes of serous and endometrioid ovarian cancer linked to clinical outcome.
PMID14706684,14706684,curated,uncurated,x,src,no,no,,,,yes,HU6800,"Lancaster JM, Dressman HK, Whitaker RS, Havrilesky L, Gray J, Marks JR, Nevins JR, Berchuck A.Gene expression patterns that characterize advanced stage serous ovarian cancers. J Soc Gynecol Investig. 2004 Jan; 11(1):51-9. ",PMID14706684,ok,ok,unfinished,unfinished,NA,NA,primary_tissues,FF,Affymetrix,commercial,GPL80,in situ oligonucleotide,,2004,Gene expression patterns that characterize advanced stage serous ovarian cancers.
PMID15897565,15897565,curated,uncurated,x,src,yes,no,,only 2 samples also in Dressman 2007?,,yes,HG-U133A,"Berchuck A, Iversen ES, Lancaster JM, Pittman J, Luo J, Lee P, Murphy S, Dressman HK, Febbo PG, West M, Nevins JR, Marks JR.Patterns of gene expression that characterize long-term survival in advanced stage serous ovarian cancers. Clin Cancer Res. 2005 May 15; 11(10):3686-96. ",PMID15897565,unfinished,unfinished,unfinished,NA,NA,NA,primary_tissues,FF,Affymetrix,commercial,GPL96,in situ oligonucleotide,,2005,Patterns of gene expression that characterize long-term survival in advanced stage serous ovarian cancers.
PMID19318476,19318476,curated,uncurated,x,src,very small sample size for early stage,,levi - done,"samples contained in Dressman 2007, so don't use",,yes,HG-U133A,"Berchuck A, Iversen ES, Luo J, Clarke JP, Horne H, Levine DA, Boyd J, Alonso MA, Secord AA, Bernardini MQ, Barnett JC, Boren T, Murphy SK, Dressman HK, Marks JR, Lancaster JM.Microarray analysis of early stage serous ovarian cancers shows profiles predictive of favorable outcome. Clin Cancer Res. 2009 Apr 1; 15(7):2448-55. ",PMID19318476,ok,ok,ok,NA,NA,NA,primary_tissues,FF,Affymetrix,commercial,GPL96,in situ oligonucleotide,1,2009,Microarray analysis of early stage serous ovarian cancers shows profiles predictive of favorable outcome.
PMID17290060,17290060,curated,uncurated,x,src,very small sample size for early stage,yes,,,,yes,HG-U133A,"Dressman HK, Berchuck A, Chan G, Zhai J, Bild A, Sayer R, Cragun J, Clarke J, Whitaker RS, Li L, Gray J, Marks J, Ginsburg GS, Potti A, West M, Nevins JR, Lancaster JM.An integrated genomic-based approach to individualized treatment of patients with advanced-stage ovarian cancer. J Clin Oncol. 2007 Feb 10; 25(5):517-25. ",PMID17290060,ok,ok,ok,NA,NA,NA,primary_tissues,FF,Affymetrix,commercial,GPL96,in situ oligonucleotide,,2007,An integrated genomic-based approach to individualized treatment of patients with advanced-stage ovarian cancer.

